	Azacitidine	Brincidofovir	Cidofovir	Filociclovir	Flavopiridol	Ganciclovir	Letermovir	Niclosamide	Nitazoxanide	Favipiravir	Artesunate	Bithionol	Dasatinib	Erlotinib	Gefitinib	Hexachlorophene	Imatinib	Leflunomide	Mycophenolic_acid	Rapamycin_(Sirolimus)	Sunitinib	Navitoclax	Chloroquine	Chlorpromazine	Atovaquone	Berberine	Doxycycline	Eflornithine	EIPA_(amiloride)	Hydroxychloroquine	Isolanid_(lanatoside_C)	Ivermectin	Luteolin	Nelfinavir	Ribavirin	Silvestrol	Sofosbuvir	Sorafenib	Suramin	Tilorone_(Amixin)	Cyclosporine	Emetine	Emodin	Foscarnet	Lobucavir	Manidipine	Monensin	Quercetin	Salinomycin	Saracatinib	Simvastatin	Valacyclovir	Verapamil	4-HPR_(Fenretinide)	Amiodarone	Amodiaquine	Anisomycin	BCX4430_(Galidesivir)	Bepridil	Bortezomib	Brequinar	Entrectinib	Fluoxetine	Fluvastatin	Lovastatin	Metformin	Minocycline	Mitoxantrone	Posaconazole	Quinacrine	Quinine	Raloxifene	Remdesivir	Topotecan	Apilimod	Arbidol_(Umifenovir)	Azithromycin	Benztropine	Clomipramine	Dalbavancin	Diphyllin	Nafamostat	Oritavancin	Tamoxifen	Teicoplanin	Telavancin	Teriflunomide	Toremifene	Aciclovir	Camptothecin	Glycyrrhizin	Novobiocin	Promethazine	Roscovitine_(Seliciclib)	Homoharringtonine	Acetylsalicylic_acid	Azaribine	Caffeine	Camostat	Gemcitabine	Genistin	Itraconazole	Kasugamycin	Memantine	Obatoclax	Pentosan_polysulfate	Regorafenib	Trametinib	Triazavirin	Zanamivir	Ezetimibe	Irbesartan	Lamivudine	Tenofovir	Thymalfasin	Alisporivir	Cepharanthine	Boceprevir	Dibucaine	Elbasvir	Pirlindole	Formoterol	Pleconaril	Alpha-lipoic_acid	Indomethacin	Lopinavir	Ritonavir	Mefloquine
Lovastatin	0.115044248	0.086705202	0.113043478	0.072580645	0.112676056	0.092436975	0.095505618	0.078740157	0.086614173	0.068627451	0.183206107	0.048	0.101265823	0.071895425	0.08974359	0.046511628	0.08045977	0.081967213	0.136	0.178899083	0.126760563	0.07755102	0.109375	0.076923077	0.1	0.085106383	0.154929577	0.078431373	0.043859649	0.106870229	0.138655462	0.104986877	0.069767442	0.142857143	0.115044248	0.13368984	0.163398693	0.069620253	0.03986711	0.10738255	0.095238095	0.132075472	0.080645161	0.055555556	0.117647059	0.106382979	0.169491525	0.06870229	0.17989418	0.078651685	0.78021978	0.134920635	0.096153846	0.111111111	0.113333333	0.086330935	0.166666667	0.090163934	0.111888112	0.112676056	0.067114094	0.081521739	0.075757576	0.101351351	1	0.03030303	0.143835616	0.075949367	0.112745098	0.111888112	0.120300752	0.091463415	0.158823529	0.121621622	0.081761006	0.126760563	0.142857143	0.121212121	0.091603053	0.079207921	0.103448276	0.0625	0.086956522	0.095238095	0.074698795	0.086842105	0.083333333	0.078947368	0.086956522	0.107913669	0.124401914	0.137142857	0.087301587	0.115942029	0.152439024	0.116504854	0.145038168	0.083333333	0.095890411	0.113043478	0.11409396	0.115577889	0.138461538	0.054545455	0.064285714	0.103225806	0.06875	0.096969697	0.052173913	0.129032258	0.092715232	0.094339623	0.109090909	0.1	0.02507837	0.09057971	0.087628866	0.106918239	0.118518519	0.099585062	0.083333333	0.102941176	0.091549296	0.106796117	0.103703704	0.129032258	0.099502488	0.078571429
Metformin	0.014925373	0.015625	0.014492754	0.013513514	0.01010101	0.014084507	0.02238806	0.025974026	0.052631579	0.0625	0.043010753	0	0.035714286	0.029126214	0.018181818	0	0.031746032	0.042253521	0.05	0.010152284	0.051546392	0.01980198	0.05	0.064935065	0	0.021505376	0.081632653	0.04	0.196078431	0.048192771	0.014285714	0.005540166	0	0.03875969	0.046153846	0.01986755	0.034482759	0.037383178	0.02	0.028846154	0.008368201	0.016666667	0.013333333	0.027777778	0.013513514	0.02739726	0.020547945	0	0.02484472	0.015151515	0.02970297	0.049382716	0.036697248	0.051546392	0.038095238	0.04494382	0.041666667	0.013513514	0.030612245	0.052631579	0.02020202	0.02173913	0.024390244	0.029411765	0.03030303	1	0.079207921	0.009009009	0.011976048	0.041237113	0.011111111	0.008333333	0.037313433	0.048543689	0.017857143	0.0625	0.032679739	0.011235955	0.0625	0.021621622	0.029411765	0.117647059	0.019444444	0.072916667	0.015706806	0.020114943	0.058823529	0.070707071	0.015151515	0.010526316	0.023121387	0.052238806	0.067567568	0.032258065	0.031496063	0.055555556	0.045454545	0.035087719	0.159090909	0.014492754	0	0.012345679	0.084337349	0.054545455	0.02247191	0	0.036697248	0.033613445	0.016129032	0.078947368	0	0.008695652	0.015873016	0.027777778	0.01188455	0.008298755	0.013245033	0.063063063	0.056818182	0.024752475	0.014084507	0.033707865	0.021052632	0.018181818	0.045977011	0.034013605	0.044871795	0
Minocycline	0.099173554	0.06557377	0.097560976	0.102362205	0.18705036	0.078740157	0.122222222	0.142857143	0.106870229	0.115384615	0.102040816	0.112903226	0.124223602	0.082278481	0.092592593	0.126984127	0.107954545	0.094488189	0.1640625	0.13304721	0.159722222	0.097165992	0.087591241	0.105263158	0.183823529	0.118881119	0.540540541	0.044642857	0.076923077	0.085714286	0.098814229	0.075376884	0.198347107	0.150289017	0.117647059	0.146596859	0.141975309	0.1	0.084745763	0.131578947	0.085106383	0.119760479	0.226086957	0.073684211	0.12	0.119791667	0.097435897	0.204918033	0.105769231	0.093406593	0.141891892	0.094890511	0.098765432	0.136054422	0.122580645	0.128571429	0.129032258	0.102362205	0.070967742	0.092715232	0.129251701	0.113513514	0.056737589	0.125827815	0.143835616	0.079207921	1	0.195945946	0.098591549	0.106666667	0.114285714	0.134146341	0.120879121	0.244604317	0.078313253	0.167832168	0.115	0.091549296	0.119402985	0.1075	0.106557377	0.103448276	0.110539846	0.098039216	0.0968523	0.111111111	0.087301587	0.089171975	0.073170732	0.175182482	0.105022831	0.218934911	0.107692308	0.087837838	0.126436782	0.109090909	0.113475177	0.107142857	0.136054422	0.115702479	0.161073826	0.09569378	0.09929078	0.060344828	0.114285714	0.072289157	0.105590062	0.167701863	0.066666667	0.122137405	0.116883117	0.103658537	0.102564103	0.07751938	0.023219814	0.080701754	0.117948718	0.109090909	0.104895105	0.114754098	0.113821138	0.121428571	0.087248322	0.061403509	0.130434783	0.118556701	0.101449275	0.089655172
Mitoxantrone	0.079365079	0.106145251	0.12195122	0.108527132	0.166666667	0.111111111	0.108108108	0.185483871	0.096296296	0.0625	0.03125	0.128	0.135802469	0.115384615	0.111111111	0.1328125	0.118644068	0.109375	0.125925926	0.076612903	0.156462585	0.113821138	0.134328358	0.119402985	0.171428571	0.101351351	0.191780822	0.043478261	0.048780488	0.165413534	0.044609665	0.051219512	0.213114754	0.122222222	0.0625	0.11	0.099415205	0.125786164	0.109965636	0.174496644	0.072916667	0.079545455	0.263157895	0.05	0.1	0.101010101	0.038277512	0.219512195	0.04954955	0.097826087	0.075	0.077464789	0.117283951	0.103896104	0.141935484	0.175182482	0.1	0.083333333	0.090322581	0.105263158	0.134228188	0.123655914	0.109489051	0.138157895	0.075949367	0.009009009	0.195945946	1	0.102325581	0.141891892	0.081632653	0.145454545	0.112903226	0.181208054	0.096385542	0.133333333	0.036697248	0.067567568	0.116788321	0.115	0.112903226	0.108843537	0.101265823	0.096153846	0.109489051	0.140161725	0.102362205	0.101265823	0.106557377	0.146853147	0.042553191	0.167597765	0.097014925	0.131034483	0.087431694	0.096491228	0.052631579	0.076271186	0.111111111	0.086614173	0.181208054	0.099526066	0.039473684	0	0.104166667	0.034285714	0.14556962	0.157575758	0.056451613	0.079136691	0.14379085	0.128834356	0.081967213	0.075757576	0.031055901	0.072413793	0.088669951	0.033333333	0.141843972	0.086956522	0.076923077	0.176470588	0.092715232	0.050847458	0.135714286	0.12244898	0.115942029	0.080536913
Posaconazole	0.072222222	0.071428571	0.083333333	0.092896175	0.14213198	0.094444444	0.27804878	0.102702703	0.078947368	0.060240964	0.067307692	0.076086957	0.187192118	0.132352941	0.185	0.068783069	0.231884058	0.105555556	0.094240838	0.117241379	0.135	0.244360902	0.117647059	0.125	0.157068063	0.12244898	0.09478673	0.047337278	0.039106145	0.121693122	0.059561129	0.089285714	0.114130435	0.146017699	0.06043956	0.172268908	0.139534884	0.168316832	0.10787172	0.154228856	0.082840237	0.127853881	0.092391304	0.0125	0.086956522	0.206140351	0.083003953	0.106951872	0.090225564	0.177272727	0.09569378	0.105263158	0.117370892	0.096618357	0.130434783	0.153439153	0.117318436	0.063829787	0.164948454	0.119402985	0.215053763	0.237209302	0.154696133	0.179487179	0.112745098	0.011976048	0.098591549	0.102325581	1	0.153061224	0.14893617	0.242424242	0.173333333	0.147783251	0.177339901	0.135	0.067924528	0.131578947	0.135135135	0.103070175	0.114285714	0.151832461	0.115646259	0.2	0.096153846	0.103448276	0.082417582	0.190721649	0.090909091	0.157068063	0.067137809	0.117647059	0.120879121	0.151041667	0.127753304	0.070588235	0.074257426	0.088757396	0.146464646	0.089385475	0.136585366	0.670520231	0.033653846	0.063953488	0.113402062	0.034782609	0.16097561	0.164319249	0.062146893	0.056122449	0.254054054	0.181372549	0.08	0.105555556	0.01980198	0.079178886	0.168067227	0.061135371	0.112244898	0.181494662	0.11299435	0.179347826	0.126903553	0.046242775	0.161290323	0.188841202	0.147410359	0.117948718
Quinacrine	0.050420168	0.1	0.104347826	0.081967213	0.145985401	0.102564103	0.175757576	0.214285714	0.12295082	0.058823529	0.040540541	0.140350877	0.168918919	0.21641791	0.224637681	0.116666667	0.147239264	0.139130435	0.128	0.094017094	0.251968504	0.138528139	0.584269663	0.263636364	0.159090909	0.178294574	0.108843537	0.048076923	0.082568807	0.484536082	0.034482759	0.057934509	0.141666667	0.130177515	0.033057851	0.172222222	0.141935484	0.191489362	0.083333333	0.333333333	0.068100358	0.147435897	0.117647059	0	0.073170732	0.143646409	0.056410256	0.130081301	0.062200957	0.164634146	0.095238095	0.118110236	0.259259259	0.11971831	0.296875	0.401869159	0.168141593	0.064516129	0.161764706	0.129496403	0.187969925	0.137931034	0.18487395	0.165467626	0.111888112	0.041237113	0.106666667	0.141891892	0.153061224	1	0.223140496	0.163398693	0.173652695	0.204379562	0.163265306	0.195488722	0.048780488	0.113636364	0.256637168	0.095717884	0.094827586	0.169230769	0.089974293	0.194029851	0.085365854	0.095744681	0.102564103	0.189781022	0.097345133	0.176923077	0.03539823	0.164705882	0.182608696	0.204724409	0.13253012	0.096153846	0.064285714	0.08411215	0.169117647	0.067226891	0.153846154	0.188172043	0.020833333	0.017699115	0.193548387	0.00591716	0.188811189	0.146496815	0.061946903	0.045112782	0.146853147	0.168918919	0.07079646	0.100840336	0.023510972	0.071428571	0.141304348	0.041666667	0.339285714	0.123404255	0.112068966	0.25210084	0.166666667	0.046296296	0.298245614	0.154696133	0.164021164	0.119402985
Quinine	0.095238095	0.06626506	0.093457944	0.099099099	0.185483871	0.101851852	0.187096774	0.125	0.133928571	0.076923077	0.082706767	0.090909091	0.156028369	0.141791045	0.195488722	0.068965517	0.156862745	0.130841121	0.091666667	0.113122172	0.087591241	0.090517241	0.201834862	0.131578947	0.162601626	0.163934426	0.100719424	0.020618557	0.048543689	0.207207207	0.06122449	0.059431525	0.114035088	0.183006536	0.08490566	0.155172414	0.136054422	0.153284672	0.055944056	0.124087591	0.051094891	0.173611111	0.098214286	0.012048193	0.12962963	0.138728324	0.076923077	0.112068966	0.076142132	0.167741935	0.110294118	0.090909091	0.126760563	0.128787879	0.106382979	0.186440678	0.207920792	0.109090909	0.147286822	0.113636364	0.147286822	0.146341463	0.139130435	0.142857143	0.120300752	0.011111111	0.114285714	0.081632653	0.14893617	0.223140496	1	0.166666667	0.141104294	0.148148148	0.183823529	0.120300752	0.078947368	0.201754386	0.147826087	0.051980198	0.114285714	0.126984127	0.056122449	0.119402985	0.050724638	0.05511811	0.101851852	0.116788321	0.096153846	0.153225806	0.066666667	0.13253012	0.135135135	0.134920635	0.133757962	0.11827957	0.07751938	0.092783505	0.120300752	0.103773585	0.139705882	0.140540541	0.062015504	0.060606061	0.15	0.045751634	0.151079137	0.125827815	0.067961165	0.075	0.132352941	0.131944444	0.11	0.110091743	0.006259781	0.046931408	0.142857143	0.078431373	0.138211382	0.128888889	0.202020202	0.208695652	0.082706767	0.051020408	0.221238938	0.124293785	0.09375	0.206896552
Raloxifene	0.058394161	0.067010309	0.088888889	0.09352518	0.187919463	0.087591241	0.229885057	0.164179104	0.121428571	0.075630252	0.067484663	0.127819549	0.213836478	0.14375	0.211538462	0.124087591	0.26993865	0.118518519	0.118055556	0.112903226	0.132911392	0.230434783	0.118055556	0.160583942	0.201388889	0.154362416	0.12962963	0.048780488	0.053435115	0.123287671	0.054545455	0.067961165	0.198473282	0.17877095	0.066176471	0.184615385	0.119318182	0.205128205	0.136986301	0.179487179	0.04950495	0.130681818	0.15037594	0.04587156	0.085714286	0.240437158	0.061032864	0.186567164	0.061403509	0.212643678	0.090361446	0.087248322	0.117647059	0.162337662	0.192307692	0.188811189	0.151515152	0.062937063	0.202702703	0.120253165	0.271428571	0.197802198	0.175182482	0.213333333	0.091463415	0.008333333	0.134146341	0.145454545	0.242424242	0.163398693	0.166666667	1	0.136842105	0.163522013	0.19375	0.177631579	0.049107143	0.151724138	0.165467626	0.104368932	0.080882353	0.246376812	0.118387909	0.258741259	0.09929078	0.096446701	0.103703704	0.253424658	0.090909091	0.161073826	0.058333333	0.172043011	0.138686131	0.108974359	0.142857143	0.107438017	0.05625	0.054263566	0.217687075	0.072992701	0.233333333	0.242268041	0.04375	0.038461538	0.135135135	0.032608696	0.180124224	0.156069364	0.044776119	0.052980132	0.268965517	0.213836478	0.084615385	0.086330935	0.010510511	0.045751634	0.179487179	0.054054054	0.140939597	0.183333333	0.15503876	0.207142857	0.115384615	0.072580645	0.253731343	0.192708333	0.132075472	0.133333333
Remdesivir	0.147887324	0.130653266	0.137931034	0.111111111	0.147058824	0.128378378	0.16	0.12987013	0.158940397	0.089552239	0.097142857	0.063291139	0.134408602	0.168604651	0.137362637	0.055214724	0.14213198	0.134228188	0.111801242	0.122137405	0.132183908	0.140151515	0.169934641	0.164473684	0.15060241	0.098265896	0.148571429	0.065217391	0.090909091	0.159235669	0.088339223	0.087885986	0.100628931	0.211640212	0.147887324	0.208737864	0.414473684	0.144444444	0.083591331	0.154285714	0.070063694	0.107142857	0.082278481	0.064516129	0.125827815	0.177884615	0.099099099	0.092592593	0.120689655	0.12254902	0.130681818	0.176470588	0.162011173	0.119318182	0.172413793	0.167701863	0.164383562	0.156462585	0.195121951	0.21875	0.152941176	0.123809524	0.185430464	0.204819277	0.158823529	0.037313433	0.120879121	0.112903226	0.173333333	0.173652695	0.141104294	0.136842105	1	0.134078212	0.161111111	0.201219512	0.095238095	0.170886076	0.161290323	0.097447796	0.114864865	0.137724551	0.113253012	0.192771084	0.10022779	0.122194514	0.128378378	0.182352941	0.117241379	0.157575758	0.088	0.18	0.191780822	0.224358974	0.141414141	0.142857143	0.147239264	0.092198582	0.179640719	0.145833333	0.166666667	0.171945701	0.094674556	0.033783784	0.134146341	0.066666667	0.142857143	0.135416667	0.074829932	0.113207547	0.141242938	0.172222222	0.104166667	0.173611111	0.031343284	0.073015873	0.112107623	0.086734694	0.189873418	0.175097276	0.091503268	0.176100629	0.097142857	0.063380282	0.17721519	0.193236715	0.194444444	0.086705202
Topotecan	0.1	0.096045198	0.12605042	0.139344262	0.205882353	0.114754098	0.148571429	0.162601626	0.107692308	0.08490566	0.080536913	0.141666667	0.168831169	0.148648649	0.173333333	0.155737705	0.141176471	0.112903226	0.203252033	0.11440678	0.177304965	0.115702479	0.165354331	0.168	0.15942029	0.186567164	0.214285714	0.035714286	0.059322034	0.161538462	0.073643411	0.072864322	0.210084034	0.137931034	0.073170732	0.135416667	0.128834356	0.121794872	0.088737201	0.163265306	0.089285714	0.148148148	0.217391304	0.041237113	0.120967742	0.132275132	0.075757576	0.216666667	0.085308057	0.157894737	0.12	0.111940299	0.134615385	0.129251701	0.176870748	0.2265625	0.112	0.07751938	0.114864865	0.115646259	0.204379562	0.151685393	0.088235294	0.141891892	0.121621622	0.048543689	0.244604317	0.181208054	0.147783251	0.204379562	0.148148148	0.163522013	0.134078212	1	0.148387097	0.248120301	0.093596059	0.084507042	0.192	0.096774194	0.155172414	0.104166667	0.093908629	0.136054422	0.083932854	0.099737533	0.088	0.118421053	0.110169492	0.632653061	0.066371681	0.184971098	0.144	0.151079137	0.153846154	0.110091743	0.098591549	0.138888889	0.129251701	0.12605042	0.162162162	0.145728643	0.040540541	0.042735043	0.156716418	0.041176471	0.127388535	0.191082803	0.104347826	0.065693431	0.14	0.153846154	0.122807018	0.104	0.015384615	0.080985915	0.148148148	0.058139535	0.180451128	0.124481328	0.152542373	0.164179104	0.15	0.052631579	0.174242424	0.125	0.118226601	0.129496403
Apilimod	0.078125	0.069518717	0.085271318	0.115384615	0.180555556	0.100775194	0.203488372	0.13740458	0.145038168	0.07079646	0.056962025	0.091603053	0.273972603	0.197278912	0.281690141	0.080882353	0.226993865	0.133858268	0.1	0.093495935	0.116883117	0.179487179	0.149253731	0.178294574	0.169014085	0.153846154	0.086419753	0.016666667	0.073770492	0.145985401	0.040441176	0.058679707	0.127819549	0.172413793	0.061538462	0.148717949	0.137724551	0.167741935	0.086956522	0.149350649	0.040133779	0.129411765	0.114503817	0	0.098484848	0.202185792	0.042857143	0.117647059	0.044444444	0.221556886	0.080745342	0.107142857	0.136645963	0.116883117	0.177631579	0.189781022	0.098484848	0.074074074	0.204225352	0.164383562	0.179310345	0.212643678	0.184615385	0.166666667	0.081761006	0.017857143	0.078313253	0.096385542	0.177339901	0.163265306	0.183823529	0.19375	0.161111111	0.148387097	1	0.162162162	0.04587156	0.185185185	0.192307692	0.064133017	0.085271318	0.153846154	0.068459658	0.176870748	0.062645012	0.067839196	0.083969466	0.173333333	0.113821138	0.194244604	0.042194093	0.116402116	0.173228346	0.202898551	0.122905028	0.114035088	0.058823529	0.075	0.131578947	0.076923077	0.133757962	0.181818182	0.032258065	0.040650407	0.183823529	0.022346369	0.165605096	0.155688623	0.081300813	0.048275862	0.134615385	0.207792208	0.089430894	0.107692308	0.006042296	0.036423841	0.155440415	0.044444444	0.172661871	0.158995816	0.173553719	0.157142857	0.167832168	0.032786885	0.158273381	0.187165775	0.147783251	0.13986014
Arbidol_(Umifenovir)	0.058823529	0.08045977	0.103448276	0.090163934	0.215384615	0.101694915	0.167664671	0.170940171	0.169491525	0.09	0.068965517	0.149122807	0.175675676	0.163120567	0.156462585	0.134453782	0.160493827	0.128205128	0.173553719	0.093617021	0.203007519	0.168141593	0.163934426	0.25	0.175572519	0.15037594	0.179856115	0.067961165	0.0625	0.16	0.050387597	0.057788945	0.179487179	0.230769231	0.06779661	0.177777778	0.186666667	0.141891892	0.090592334	0.195652174	0.071684588	0.139240506	0.145299145	0.043956044	0.081300813	0.202312139	0.061538462	0.176470588	0.066985646	0.136094675	0.125	0.125984252	0.171232877	0.134751773	0.255639098	0.208	0.136752137	0.064	0.186567164	0.179104478	0.204545455	0.137142857	0.173553719	0.207407407	0.126760563	0.0625	0.167832168	0.133333333	0.135	0.195488722	0.120300752	0.177631579	0.201219512	0.248120301	0.162162162	1	0.074626866	0.15625	0.243478261	0.084577114	0.122807018	0.15037594	0.075949367	0.238461538	0.069544365	0.086842105	0.111111111	0.214814815	0.10619469	0.212598425	0.053811659	0.16374269	0.223214286	0.222222222	0.131736527	0.18556701	0.094890511	0.114285714	0.185185185	0.075630252	0.160839161	0.132653061	0.042253521	0.01754386	0.201612903	0.017857143	0.147651007	0.183006536	0.07079646	0.060606061	0.145833333	0.175675676	0.079646018	0.1	0.018691589	0.071174377	0.128342246	0.053892216	0.227642276	0.142241379	0.120689655	0.171875	0.139705882	0.065420561	0.221311475	0.186440678	0.188172043	0.102189781
Azithromycin	0.103030303	0.051724138	0.051428571	0.05	0.086294416	0.04494382	0.063559322	0.015789474	0.021052632	0.018518519	0.153005464	0.016304348	0.050228311	0.037735849	0.056074766	0.021390374	0.0472103	0.02173913	0.07027027	0.199233716	0.048543689	0.045751634	0.036649215	0.042553191	0.05	0.055555556	0.134020619	0.018404908	0.011560694	0.036082474	0.248091603	0.198492462	0.043010753	0.082969432	0.096385542	0.13559322	0.103773585	0.018099548	0.025	0.057416268	0.112852665	0.113207547	0.038251366	0.027210884	0.06779661	0.060240964	0.228971963	0.048128342	0.197424893	0.064377682	0.147368421	0.047368421	0.070754717	0.069306931	0.046948357	0.035	0.086206897	0.06779661	0.053921569	0.033816425	0.018957346	0.049382716	0.020618557	0.042857143	0.142857143	0.032679739	0.115	0.036697248	0.067924528	0.048780488	0.078947368	0.049107143	0.095238095	0.093596059	0.04587156	0.074626866	1	0.068062827	0.052910053	0.100671141	0.057471264	0.014563107	0.15625	0.048309179	0.091304348	0.138349515	0.021978022	0.037735849	0.040229885	0.065989848	0.233050847	0.138392857	0.048913043	0.03960396	0.103603604	0.030120482	0.095744681	0.048484848	0.048543689	0.088757396	0.115577889	0.0651341	0.179190751	0.088607595	0.030150754	0.129353234	0.01793722	0.048672566	0.029069767	0.071038251	0.04245283	0.055045872	0.065868263	0.044444444	0.031976744	0.115625	0.08097166	0.110047847	0.045454545	0.07	0.04494382	0.045685279	0.039408867	0.036585366	0.045918367	0.055555556	0.045283019	0.035
Benztropine	0.065420561	0.053892216	0.074074074	0.043103448	0.18699187	0.053571429	0.165605096	0.10619469	0.135135135	0.031914894	0.083333333	0.053097345	0.109589041	0.101449275	0.120567376	0.033613445	0.157894737	0.111111111	0.04	0.103603604	0.057142857	0.130044843	0.101694915	0.174311927	0.224137931	0.119047619	0.085714286	0.010309278	0.019047619	0.099173554	0.070247934	0.067885117	0.086206897	0.232876712	0.055555556	0.169590643	0.177304965	0.129496403	0.067375887	0.100719424	0.036101083	0.112582781	0.060869565	0	0.080357143	0.281045752	0.071428571	0.075630252	0.07106599	0.132075472	0.111111111	0.056451613	0.104166667	0.104477612	0.115107914	0.120967742	0.152380952	0.061403509	0.324324324	0.158730159	0.166666667	0.154320988	0.262135922	0.161538462	0.121212121	0.011235955	0.091549296	0.067567568	0.131578947	0.113636364	0.201754386	0.151724138	0.170886076	0.084507042	0.185185185	0.15625	0.068062827	1	0.190909091	0.057356608	0.064220183	0.137096774	0.061696658	0.25210084	0.055961071	0.060846561	0.102803738	0.245901639	0.046296296	0.14516129	0.066985646	0.093567251	0.25	0.154471545	0.085889571	0.157303371	0.069767442	0.060606061	0.121212121	0.08411215	0.124087591	0.135135135	0.054263566	0.06122449	0.141666667	0.039215686	0.11971831	0.165517241	0.038095238	0.05785124	0.159090909	0.173913043	0.089108911	0.071428571	0.003125	0.032142857	0.150289017	0.078947368	0.120967742	0.160550459	0.145631068	0.140495868	0.051470588	0.040816327	0.132231405	0.214723926	0.174157303	0.130081301
Clomipramine	0.048076923	0.06875	0.088235294	0.094339623	0.205128205	0.086538462	0.171052632	0.212121212	0.152380952	0.045454545	0.045454545	0.128712871	0.180451128	0.166666667	0.1953125	0.102803738	0.163265306	0.138613861	0.096491228	0.076233184	0.144	0.16509434	0.262626263	0.662162162	0.234234234	0.172413793	0.122137405	0.04494382	0.0625	0.254901961	0.032520325	0.043927649	0.130841121	0.174496644	0.038095238	0.147058824	0.15	0.151515152	0.076363636	0.184	0.044444444	0.147887324	0.103773585	0	0.08411215	0.179012346	0.032608696	0.118181818	0.045685279	0.14379085	0.090225564	0.095652174	0.19379845	0.134920635	0.209677419	0.264150943	0.137254902	0.064220183	0.224137931	0.155737705	0.183333333	0.1375	0.201923077	0.20661157	0.091603053	0.0625	0.119402985	0.116788321	0.135135135	0.256637168	0.147826087	0.165467626	0.161290323	0.192	0.192307692	0.243478261	0.052910053	0.190909091	1	0.085492228	0.099009901	0.142857143	0.073684211	0.263157895	0.064516129	0.07027027	0.107843137	0.267241379	0.090909091	0.212389381	0.033175355	0.109756098	0.333333333	0.201754386	0.131578947	0.152941176	0.055555556	0.086956522	0.181818182	0.067307692	0.13740458	0.171428571	0.015503876	0.042105263	0.189189189	0.013157895	0.149253731	0.163120567	0.06122449	0.033613445	0.147286822	0.2265625	0.082474227	0.08490566	0.009508716	0.04029304	0.154761905	0.039215686	0.218181818	0.117117117	0.164948454	0.1875	0.12195122	0.065934066	0.23364486	0.16969697	0.152542373	0.12605042
Dalbavancin	0.066312997	0.089201878	0.043927649	0.038071066	0.095959596	0.041025641	0.095348837	0.083989501	0.056122449	0.02393617	0.069478908	0.065445026	0.07398568	0.070559611	0.079903148	0.064766839	0.091764706	0.048843188	0.074550129	0.117400419	0.09	0.12033195	0.077319588	0.083333333	0.094147583	0.080604534	0.113924051	0.026595745	0.028645833	0.082262211	0.144351464	0.1152	0.10106383	0.093457944	0.066312997	0.140186916	0.099273608	0.101485149	0.168650794	0.094292804	0.12745098	0.08056872	0.093333333	0.022038567	0.046035806	0.110091743	0.085393258	0.100529101	0.09190372	0.083333333	0.076167076	0.052763819	0.092909535	0.06601467	0.091133005	0.089285714	0.065104167	0.062337662	0.071428571	0.074257426	0.092964824	0.089449541	0.069053708	0.086633663	0.079207921	0.021621622	0.1075	0.115	0.103070175	0.095717884	0.051980198	0.104368932	0.097447796	0.096774194	0.064133017	0.084577114	0.100671141	0.057356608	0.085492228	1	0.043927649	0.083333333	0.497863248	0.103535354	0.694835681	0.524336283	0.049095607	0.108312343	0.036175711	0.069651741	0.156108597	0.136363636	0.06443299	0.064356436	0.086448598	0.051075269	0.075757576	0.031496063	0.098236776	0.052083333	0.163157895	0.116591928	0.104166667	0.010309278	0.065162907	0.071942446	0.098280098	0.098557692	0.023195876	0.063938619	0.110831234	0.076555024	0.041884817	0.035532995	0.07266436	0.126953125	0.151300236	0.063529412	0.081012658	0.141350211	0.041025641	0.086734694	0.061576355	0.04	0.08974359	0.119815668	0.114349776	0.041463415
Diphyllin	0.160493827	0.130434783	0.215189873	0.202380952	0.105263158	0.272727273	0.093959732	0.082474227	0.104166667	0.115942029	0.060344828	0.076086957	0.126984127	0.090909091	0.086614173	0.084210526	0.098591549	0.086956522	0.134020619	0.076555024	0.103448276	0.069124424	0.12244898	0.102040816	0.089285714	0.061403509	0.109243697	0.068493151	0.074074074	0.141414141	0.052863436	0.040106952	0.092783505	0.118881119	0.13253012	0.090909091	0.106060606	0.078740157	0.040740741	0.090163934	0.08097166	0.072463768	0.133333333	0.06779661	0.202380952	0.086419753	0.054216867	0.090909091	0.061111111	0.088435374	0.092436975	0.206521739	0.07751938	0.075630252	0.08	0.112149533	0.086021505	0.122222222	0.076271186	0.125	0.076271186	0.077419355	0.078431373	0.139130435	0.103448276	0.029411765	0.106557377	0.112903226	0.114285714	0.094827586	0.114285714	0.080882353	0.114864865	0.155172414	0.085271318	0.122807018	0.057471264	0.064220183	0.099009901	0.043927649	1	0.052173913	0.045212766	0.075	0.042821159	0.046703297	0.065217391	0.073170732	0.223684211	0.140186916	0.051813472	0.084415584	0.117021277	0.173076923	0.097902098	0.092105263	0.113207547	0.574074074	0.094017094	0.129411765	0.089430894	0.104651163	0.035714286	0.024390244	0.073394495	0.02962963	0.07751938	0.146153846	0.141025641	0.125	0.117647059	0.092307692	0.125	0.234567901	0.019672131	0.080321285	0.06547619	0.051094891	0.101851852	0.068807339	0.076923077	0.134615385	0.088495575	0.051282051	0.114285714	0.098765432	0.086206897	0.081818182
